"faze_rozpoctu";"rok";"kap_kod";"kap_zkr";"platy_a_oppp";"oppp";"platy";"pocet_zamestnancu";"prumerny_plat";"poradi_prumerneho_platu";"platy_schv_schv";"platy_skut_rozp";"platy_skut_skut";"kategorie";"kap_nazev_cc";"kap_nazev";"kategorie_2014";"ceny_index";"ceny_inflace";"ceny_deflator_2003";"ceny_deflator_2024";"prumerna_mzda_cr";"prumerna_mzda_pha";"prumerny_plat_skut_skut";"mzda_prumer_skut_ke_skut";"plat_base";"prumerny_plat_real_od2024";"prumerny_plat_c2024";"prumerny_plat_c2024_mezirocne";"prumerny_plat_2003";"prumerny_plat_nomi_od2024";"prumerny_plat_vucinh";"prumerny_plat_vucinh_mezirocne";"kategorie_2014_cz";"date"
"SKUT";"2003";"307";"MO";"12371627930,00";"1047014310,00";"11324613620,00";"45397";"20788,10938314570";NA;NA;NA;NA;"OSS";"ministerstvo_obrany";"Ministerstvo obrany                                      ";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"11324613620,00";"0,00000000000000000000";"40814,37834657572";NA;"40814,37834657572";"0,0000000000000000000";"1,265253157829927";NA;NA;"2003-01-01"
"UPRAV";"2003";"302";"KSněm";"279408000,00";"154429000,00";"124979000,00";"335";"31089,30348258710";NA;NA;NA;NA;"ROPO";"parlament";"Parlament";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"124979000,00";"0,00000000000000000000";"61039,24948069581";NA;"61039,24948069581";"0,0000000000000000000";"1,892227844344924";NA;NA;"2003-01-01"
"UPRAV";"2003";"313";"MPSV";"2663748000,00";"3725000,00";"2660023000,00";"13664";"16222,81786690090";NA;NA;NA;NA;"OSS_SS";"ministerstvo_prace_a_socialnich_veci";"Ministerstvo práce a sociálních věcí";"Neustredni st. sprava";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"2660023000,00";"0,00000000000000000000";"31851,10363158421";NA;"31851,10363158421";"0,0000000000000000000";"0,987390010158302";NA;"Neústřední st. správa";"2003-01-01"
"SCHV";"2003";"314";"MV";"20098536000,00";"505148000,00";"19593388000,00";"74859";"21811,43661194160";NA;NA;NA;NA;"ROPO";"ministerstvo_vnitra";"Ministerstvo vnitra                                ";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"19593388000,00";"0,00000000000000000000";"42823,53001682292";NA;"42823,53001682292";"0,0000000000000000000";"1,327537225315983";NA;NA;"2003-01-01"
"SKUT";"2003";"314";"MV";"20330807650,00";"509504070,00";"19821303580,00";"75403";"21905,96260537820";NA;NA;NA;NA;"ROPO";"ministerstvo_vnitra";"Ministerstvo vnitra                                ";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"19821303580,00";"0,00000000000000000000";"43009,11782515124";NA;"43009,11782515124";"0,0000000000000000000";"1,333290481155095";NA;NA;"2003-01-01"
"UPRAV";"2003";"314";"MV";"20301326000,00";"508469000,00";"19792857000,00";"75514";"21842,37028895300";NA;NA;NA;NA;"ROPO";"ministerstvo_vnitra";"Ministerstvo vnitra                                ";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"19792857000,00";"0,00000000000000000000";"42884,26371674359";NA;"42884,26371674359";"0,0000000000000000000";"1,329419981068350";NA;NA;"2003-01-01"
"SCHV";"2003";"334";"MK";"66827000,00";"2190000,00";"64637000,00";"248";"21719,42204301080";NA;NA;NA;NA;"UO";"ministerstvo_kultury";"Ministerstvo kultury";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"64637000,00";"0,00000000000000000000";"42642,87301908826";NA;"42642,87301908826";"0,0000000000000000000";"1,005994536498879";NA;"Ministerstva";"2003-01-01"
"SCHV";"2003";"346";"ČÚZK";"1148325000,00";"763000,00";"1147562000,00";"5917";"16161,93453889920";NA;NA;NA;NA;"OSS";"cesky_urad_zememericky_a_katastralni";"Český úřad zeměměřický a katastrální";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"1147562000,00";"0,00000000000000000000";"31731,56822130420";NA;"31731,56822130420";"0,0000000000000000000";"0,983684390681631";NA;NA;"2003-01-01"
"SKUT";"2003";"334";"MK";"67557700,00";"2733700,00";"64824000,00";"234";"23085,47008547010";NA;NA;NA;NA;"UO";"ministerstvo_kultury";"Ministerstvo kultury";"Ministerstva";"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"64824000,00";"0,00000000000000000000";"45324,90632076681";NA;"45324,90632076681";"0,0000000000000000000";"1,069266794139421";NA;"Ministerstva";"2003-01-01"
"SKUT";"2003";"346";"ČÚZK";"1148145570,00";"2632340,00";"1145513230,00";"5676";"16818,08242306790";NA;NA;NA;NA;"OSS";"cesky_urad_zememericky_a_katastralni";"Český úřad zeměměřický a katastrální";NA;"100,100000000000";"1,00100000000000";"1,00000000000000";"1,96335210645306";"16430";"21590";NA;NA;"1145513230,00";"0,00000000000000000000";"33019,81755183153";NA;"33019,81755183153";"0,0000000000000000000";"1,023620354416792";NA;NA;"2003-01-01"
